arquivo,sinal,pessoa,rep,fonte,origem,bytes,validado,estado
pessoaM01_sinal-acontecer_rep01.mp4,acontecer,M01,01,minds,01AcontecerSinalizador01-1.mp4,34098608,sim,baixado
pessoaM01_sinal-acontecer_rep02.mp4,acontecer,M01,02,minds,01AcontecerSinalizador01-2.mp4,41654164,sim,baixado
pessoaM01_sinal-acontecer_rep03.mp4,acontecer,M01,03,minds,01AcontecerSinalizador01-3.mp4,38923027,sim,baixado
pessoaM01_sinal-acontecer_rep04.mp4,acontecer,M01,04,minds,01AcontecerSinalizador01-4.mp4,39189987,sim,baixado
pessoaM01_sinal-acontecer_rep05.mp4,acontecer,M01,05,minds,01AcontecerSinalizador01-5.mp4,42192980,sim,baixado
pessoaM02_sinal-acontecer_rep01.mp4,acontecer,M02,01,minds,01AcontecerSinalizador02-1.mp4,31721415,sim,baixado
pessoaM02_sinal-acontecer_rep02.mp4,acontecer,M02,02,minds,01AcontecerSinalizador02-2.mp4,39968606,sim,baixado
pessoaM02_sinal-acontecer_rep03.mp4,acontecer,M02,03,minds,01AcontecerSinalizador02-3.mp4,35141309,sim,baixado
pessoaM02_sinal-acontecer_rep04.mp4,acontecer,M02,04,minds,01AcontecerSinalizador02-4.mp4,46076799,sim,baixado
pessoaM02_sinal-acontecer_rep05.mp4,acontecer,M02,05,minds,01AcontecerSinalizador02-5.mp4,35965163,sim,baixado
pessoaM05_sinal-acontecer_rep01.mp4,acontecer,M05,01,minds,01AcontecerSinalizador05-1.mp4,55129398,sim,baixado
pessoaM05_sinal-acontecer_rep02.mp4,acontecer,M05,02,minds,01AcontecerSinalizador05-2.mp4,46287687,sim,baixado
pessoaM05_sinal-acontecer_rep03.mp4,acontecer,M05,03,minds,01AcontecerSinalizador05-3.mp4,50975254,sim,baixado
pessoaM05_sinal-acontecer_rep04.mp4,acontecer,M05,04,minds,01AcontecerSinalizador05-4.mp4,53320181,sim,baixado
pessoaM05_sinal-acontecer_rep05.mp4,acontecer,M05,05,minds,01AcontecerSinalizador05-5.mp4,41343186,sim,baixado
pessoaM06_sinal-acontecer_rep01.mp4,acontecer,M06,01,minds,01AcontecerSinalizador06-1.mp4,48934454,sim,baixado
pessoaM06_sinal-acontecer_rep02.mp4,acontecer,M06,02,minds,01AcontecerSinalizador06-2.mp4,67242061,sim,baixado
pessoaM06_sinal-acontecer_rep03.mp4,acontecer,M06,03,minds,01AcontecerSinalizador06-3.mp4,69464175,sim,baixado
pessoaM06_sinal-acontecer_rep04.mp4,acontecer,M06,04,minds,01AcontecerSinalizador06-4.mp4,55680754,sim,baixado
pessoaM06_sinal-acontecer_rep05.mp4,acontecer,M06,05,minds,01AcontecerSinalizador06-5.mp4,48095204,sim,baixado
pessoaM08_sinal-acontecer_rep01.mp4,acontecer,M08,01,minds,01AcontecerSinalizador08-1.mp4,35964794,sim,baixado
pessoaM08_sinal-acontecer_rep02.mp4,acontecer,M08,02,minds,01AcontecerSinalizador08-2.mp4,43023952,sim,baixado
pessoaM08_sinal-acontecer_rep03.mp4,acontecer,M08,03,minds,01AcontecerSinalizador08-3.mp4,35520713,sim,baixado
pessoaM08_sinal-acontecer_rep04.mp4,acontecer,M08,04,minds,01AcontecerSinalizador08-4.mp4,40918020,sim,baixado
